Championship: ,Team A: ,Team B: ,Score: ,Time: 
الكونفيدرالية الإفريقية,نهضة بركان,الزمالك,---,22:00
الدوري الإسباني,فالنسيا,رايو فاييكانو,---,19:30
الدوري الإسباني,ريال بيتيس,الميريا,---,19:30
الدوري الأفريقي لكرة السلة,ريفرز هوبرز,الإتحاد الرياضي المنستيري,---,17:30
الدوري الأفريقي لكرة السلة,إيه إس دوانّ,ريج الرواندي,---,17:30
الدوري الإيطالي,يوفنتوس,ساليرنيتانا,---,19:00
الدوري الإيطالي,أتالانتا,روما,---,19:00
الدوري الألماني,بوخوم,باير ليفركوزن,---,20:30
الدوري الفرنسي,مونبيليه,موناكو,---,22:00
الدوري الفرنسي,نانت,ليل,---,22:00
الدوري الفرنسي,كليرمونت,ليون,---,22:00
الدوري الفرنسي,باريس سان جيرمان,تولوز,---,22:00
الدوري الفرنسي,مارسيليا,لوريان,---,22:00
الدوري الفرنسي,ستراسبورج,ميتز,---,22:00
الدوري الفرنسي,رين,لانس,---,22:00
الدوري التركي,أضنة دمير سبور,غازي عنتاب بي.بي.كي,---,19:00
الدوري التركي,ألانيا سبور,بشكتاش,---,19:00
الدوري التركي,فاتح كاراجومروك,جالاتا سراي,---,19:00
الدوري التركي,فنربخشة,قيصري سبور,---,19:00
الدوري التركي,هاتاي سبور,أنقرة جوتشو,---,19:00
الدوري التركي,قاسم باشا,انطاليا سبور,---,19:00
الدوري التركي,قونيا سبور,سامسون سبور,---,19:00
الدوري التركي,سيفاسبور,إسطنبول باشاكشهير,---,19:00
الدوري التركي,طرابزون سبور,إسطنبول سبور,---,19:00
الدوري التركي,بينديكسبور,ريزه سبور,---,19:00
الدوري التونسي,الترجى الرياضي,النجم الساحلى,---,19:30
الدوري البرتغالي,بنفيكا,أروكا,---,20:00
الدوري البرتغالي,كازا بيا,موريرنسي,---,20:00
الدوري البرتغالي,بورتو,بوافيستا,---,20:00
